DateKey,FullDateAlternateKey,DayNumberOfWeek,DayNameOfWeek,DayNumberOfMonth,DayNumberOfYear,WeekNumberOfYear,MonthName,MonthNumberOfYear,CalendarQuarter,CalendarYear,CalendarSemester,FiscalQuarter,FiscalYear,FiscalSemester
20170728,7/28/2017,6,Friday,28,209,30,July,7,3,2017,2,1,2018,1
20170729,7/29/2017,7,Saturday,29,210,30,July,7,3,2017,2,1,2018,1
20170730,7/30/2017,1,Sunday,30,211,31,July,7,3,2017,2,1,2018,1
20170731,7/31/2017,2,Monday,31,212,31,July,7,3,2017,2,1,2018,1
20170801,8/1/2017,3,Tuesday,1,213,31,August,8,3,2017,2,1,2018,1
20170802,8/2/2017,4,Wednesday,2,214,31,August,8,3,2017,2,1,2018,1
20170803,8/3/2017,5,Thursday,3,215,31,August,8,3,2017,2,1,2018,1
20170804,8/4/2017,6,Friday,4,216,31,August,8,3,2017,2,1,2018,1
20170805,8/5/2017,7,Saturday,5,217,31,August,8,3,2017,2,1,2018,1
20170806,8/6/2017,1,Sunday,6,218,32,August,8,3,2017,2,1,2018,1
20170807,8/7/2017,2,Monday,7,219,32,August,8,3,2017,2,1,2018,1
20170808,8/8/2017,3,Tuesday,8,220,32,August,8,3,2017,2,1,2018,1
20170809,8/9/2017,4,Wednesday,9,221,32,August,8,3,2017,2,1,2018,1
20170810,8/10/2017,5,Thursday,10,222,32,August,8,3,2017,2,1,2018,1
20170811,8/11/2017,6,Friday,11,223,32,August,8,3,2017,2,1,2018,1
20170812,8/12/2017,7,Saturday,12,224,32,August,8,3,2017,2,1,2018,1
20170813,8/13/2017,1,Sunday,13,225,33,August,8,3,2017,2,1,2018,1
20170814,8/14/2017,2,Monday,14,226,33,August,8,3,2017,2,1,2018,1
20170815,8/15/2017,3,Tuesday,15,227,33,August,8,3,2017,2,1,2018,1
20170816,8/16/2017,4,Wednesday,16,228,33,August,8,3,2017,2,1,2018,1
20170817,8/17/2017,5,Thursday,17,229,33,August,8,3,2017,2,1,2018,1
20170818,8/18/2017,6,Friday,18,230,33,August,8,3,2017,2,1,2018,1
20170819,8/19/2017,7,Saturday,19,231,33,August,8,3,2017,2,1,2018,1
20170820,8/20/2017,1,Sunday,20,232,34,August,8,3,2017,2,1,2018,1
20170821,8/21/2017,2,Monday,21,233,34,August,8,3,2017,2,1,2018,1
20170822,8/22/2017,3,Tuesday,22,234,34,August,8,3,2017,2,1,2018,1
20170823,8/23/2017,4,Wednesday,23,235,34,August,8,3,2017,2,1,2018,1
20170824,8/24/2017,5,Thursday,24,236,34,August,8,3,2017,2,1,2018,1
20170825,8/25/2017,6,Friday,25,237,34,August,8,3,2017,2,1,2018,1
20170826,8/26/2017,7,Saturday,26,238,34,August,8,3,2017,2,1,2018,1
20170827,8/27/2017,1,Sunday,27,239,35,August,8,3,2017,2,1,2018,1
20170828,8/28/2017,2,Monday,28,240,35,August,8,3,2017,2,1,2018,1
20170829,8/29/2017,3,Tuesday,29,241,35,August,8,3,2017,2,1,2018,1
20170830,8/30/2017,4,Wednesday,30,242,35,August,8,3,2017,2,1,2018,1
20170831,8/31/2017,5,Thursday,31,243,35,August,8,3,2017,2,1,2018,1
20170901,9/1/2017,6,Friday,1,244,35,September,9,3,2017,2,1,2018,1
20170902,9/2/2017,7,Saturday,2,245,35,September,9,3,2017,2,1,2018,1
20170903,9/3/2017,1,Sunday,3,246,36,September,9,3,2017,2,1,2018,1
20170904,9/4/2017,2,Monday,4,247,36,September,9,3,2017,2,1,2018,1
20170905,9/5/2017,3,Tuesday,5,248,36,September,9,3,2017,2,1,2018,1
20170906,9/6/2017,4,Wednesday,6,249,36,September,9,3,2017,2,1,2018,1
20170907,9/7/2017,5,Thursday,7,250,36,September,9,3,2017,2,1,2018,1
20170908,9/8/2017,6,Friday,8,251,36,September,9,3,2017,2,1,2018,1
20170909,9/9/2017,7,Saturday,9,252,36,September,9,3,2017,2,1,2018,1
20170910,9/10/2017,1,Sunday,10,253,37,September,9,3,2017,2,1,2018,1
20170911,9/11/2017,2,Monday,11,254,37,September,9,3,2017,2,1,2018,1
20170912,9/12/2017,3,Tuesday,12,255,37,September,9,3,2017,2,1,2018,1
20170913,9/13/2017,4,Wednesday,13,256,37,September,9,3,2017,2,1,2018,1
20170914,9/14/2017,5,Thursday,14,257,37,September,9,3,2017,2,1,2018,1
20170915,9/15/2017,6,Friday,15,258,37,September,9,3,2017,2,1,2018,1
20170916,9/16/2017,7,Saturday,16,259,37,September,9,3,2017,2,1,2018,1
20170917,9/17/2017,1,Sunday,17,260,38,September,9,3,2017,2,1,2018,1
20170918,9/18/2017,2,Monday,18,261,38,September,9,3,2017,2,1,2018,1
20170919,9/19/2017,3,Tuesday,19,262,38,September,9,3,2017,2,1,2018,1
20170920,9/20/2017,4,Wednesday,20,263,38,September,9,3,2017,2,1,2018,1
20170921,9/21/2017,5,Thursday,21,264,38,September,9,3,2017,2,1,2018,1
20170922,9/22/2017,6,Friday,22,265,38,September,9,3,2017,2,1,2018,1
20170923,9/23/2017,7,Saturday,23,266,38,September,9,3,2017,2,1,2018,1
20170924,9/24/2017,1,Sunday,24,267,39,September,9,3,2017,2,1,2018,1
20170925,9/25/2017,2,Monday,25,268,39,September,9,3,2017,2,1,2018,1
20170926,9/26/2017,3,Tuesday,26,269,39,September,9,3,2017,2,1,2018,1
20170927,9/27/2017,4,Wednesday,27,270,39,September,9,3,2017,2,1,2018,1
20170928,9/28/2017,5,Thursday,28,271,39,September,9,3,2017,2,1,2018,1
20170929,9/29/2017,6,Friday,29,272,39,September,9,3,2017,2,1,2018,1
20170930,9/30/2017,7,Saturday,30,273,39,September,9,3,2017,2,1,2018,1
20171001,10/1/2017,1,Sunday,1,274,40,October,10,4,2017,2,2,2018,1
20171002,10/2/2017,2,Monday,2,275,40,October,10,4,2017,2,2,2018,1
20171003,10/3/2017,3,Tuesday,3,276,40,October,10,4,2017,2,2,2018,1
20171004,10/4/2017,4,Wednesday,4,277,40,October,10,4,2017,2,2,2018,1
20171005,10/5/2017,5,Thursday,5,278,40,October,10,4,2017,2,2,2018,1
20171006,10/6/2017,6,Friday,6,279,40,October,10,4,2017,2,2,2018,1
20171007,10/7/2017,7,Saturday,7,280,40,October,10,4,2017,2,2,2018,1
20171008,10/8/2017,1,Sunday,8,281,41,October,10,4,2017,2,2,2018,1
20171009,10/9/2017,2,Monday,9,282,41,October,10,4,2017,2,2,2018,1
20171010,10/10/2017,3,Tuesday,10,283,41,October,10,4,2017,2,2,2018,1
20171011,10/11/2017,4,Wednesday,11,284,41,October,10,4,2017,2,2,2018,1
20171012,10/12/2017,5,Thursday,12,285,41,October,10,4,2017,2,2,2018,1
20171013,10/13/2017,6,Friday,13,286,41,October,10,4,2017,2,2,2018,1
20171014,10/14/2017,7,Saturday,14,287,41,October,10,4,2017,2,2,2018,1
20171015,10/15/2017,1,Sunday,15,288,42,October,10,4,2017,2,2,2018,1
20171016,10/16/2017,2,Monday,16,289,42,October,10,4,2017,2,2,2018,1
20171017,10/17/2017,3,Tuesday,17,290,42,October,10,4,2017,2,2,2018,1
20171018,10/18/2017,4,Wednesday,18,291,42,October,10,4,2017,2,2,2018,1
20171019,10/19/2017,5,Thursday,19,292,42,October,10,4,2017,2,2,2018,1
20171020,10/20/2017,6,Friday,20,293,42,October,10,4,2017,2,2,2018,1
20171021,10/21/2017,7,Saturday,21,294,42,October,10,4,2017,2,2,2018,1
20171022,10/22/2017,1,Sunday,22,295,43,October,10,4,2017,2,2,2018,1
20171023,10/23/2017,2,Monday,23,296,43,October,10,4,2017,2,2,2018,1
20171024,10/24/2017,3,Tuesday,24,297,43,October,10,4,2017,2,2,2018,1
20171025,10/25/2017,4,Wednesday,25,298,43,October,10,4,2017,2,2,2018,1
20171026,10/26/2017,5,Thursday,26,299,43,October,10,4,2017,2,2,2018,1
20171027,10/27/2017,6,Friday,27,300,43,October,10,4,2017,2,2,2018,1
20171028,10/28/2017,7,Saturday,28,301,43,October,10,4,2017,2,2,2018,1
20171029,10/29/2017,1,Sunday,29,302,44,October,10,4,2017,2,2,2018,1
20171030,10/30/2017,2,Monday,30,303,44,October,10,4,2017,2,2,2018,1
20171031,10/31/2017,3,Tuesday,31,304,44,October,10,4,2017,2,2,2018,1
20171101,11/1/2017,4,Wednesday,1,305,44,November,11,4,2017,2,2,2018,1
20171102,11/2/2017,5,Thursday,2,306,44,November,11,4,2017,2,2,2018,1
20171103,11/3/2017,6,Friday,3,307,44,November,11,4,2017,2,2,2018,1
20171104,11/4/2017,7,Saturday,4,308,44,November,11,4,2017,2,2,2018,1
20171105,11/5/2017,1,Sunday,5,309,45,November,11,4,2017,2,2,2018,1
20171106,11/6/2017,2,Monday,6,310,45,November,11,4,2017,2,2,2018,1
20171107,11/7/2017,3,Tuesday,7,311,45,November,11,4,2017,2,2,2018,1
20171108,11/8/2017,4,Wednesday,8,312,45,November,11,4,2017,2,2,2018,1
20171109,11/9/2017,5,Thursday,9,313,45,November,11,4,2017,2,2,2018,1
20171110,11/10/2017,6,Friday,10,314,45,November,11,4,2017,2,2,2018,1
20171111,11/11/2017,7,Saturday,11,315,45,November,11,4,2017,2,2,2018,1
20171112,11/12/2017,1,Sunday,12,316,46,November,11,4,2017,2,2,2018,1
20171113,11/13/2017,2,Monday,13,317,46,November,11,4,2017,2,2,2018,1
20171114,11/14/2017,3,Tuesday,14,318,46,November,11,4,2017,2,2,2018,1
20171115,11/15/2017,4,Wednesday,15,319,46,November,11,4,2017,2,2,2018,1
20171116,11/16/2017,5,Thursday,16,320,46,November,11,4,2017,2,2,2018,1
20171117,11/17/2017,6,Friday,17,321,46,November,11,4,2017,2,2,2018,1
20171118,11/18/2017,7,Saturday,18,322,46,November,11,4,2017,2,2,2018,1
20171119,11/19/2017,1,Sunday,19,323,47,November,11,4,2017,2,2,2018,1
20171120,11/20/2017,2,Monday,20,324,47,November,11,4,2017,2,2,2018,1
20171121,11/21/2017,3,Tuesday,21,325,47,November,11,4,2017,2,2,2018,1
20171122,11/22/2017,4,Wednesday,22,326,47,November,11,4,2017,2,2,2018,1
20171123,11/23/2017,5,Thursday,23,327,47,November,11,4,2017,2,2,2018,1
20171124,11/24/2017,6,Friday,24,328,47,November,11,4,2017,2,2,2018,1
20171125,11/25/2017,7,Saturday,25,329,47,November,11,4,2017,2,2,2018,1
20171126,11/26/2017,1,Sunday,26,330,48,November,11,4,2017,2,2,2018,1
20171127,11/27/2017,2,Monday,27,331,48,November,11,4,2017,2,2,2018,1
20171128,11/28/2017,3,Tuesday,28,332,48,November,11,4,2017,2,2,2018,1
20171129,11/29/2017,4,Wednesday,29,333,48,November,11,4,2017,2,2,2018,1
20171130,11/30/2017,5,Thursday,30,334,48,November,11,4,2017,2,2,2018,1
20171201,12/1/2017,6,Friday,1,335,48,December,12,4,2017,2,2,2018,1
20171202,12/2/2017,7,Saturday,2,336,48,December,12,4,2017,2,2,2018,1
20171203,12/3/2017,1,Sunday,3,337,49,December,12,4,2017,2,2,2018,1
20171204,12/4/2017,2,Monday,4,338,49,December,12,4,2017,2,2,2018,1
20171205,12/5/2017,3,Tuesday,5,339,49,December,12,4,2017,2,2,2018,1
20171206,12/6/2017,4,Wednesday,6,340,49,December,12,4,2017,2,2,2018,1
20171207,12/7/2017,5,Thursday,7,341,49,December,12,4,2017,2,2,2018,1
20171208,12/8/2017,6,Friday,8,342,49,December,12,4,2017,2,2,2018,1
20171209,12/9/2017,7,Saturday,9,343,49,December,12,4,2017,2,2,2018,1
20171210,12/10/2017,1,Sunday,10,344,50,December,12,4,2017,2,2,2018,1
20171211,12/11/2017,2,Monday,11,345,50,December,12,4,2017,2,2,2018,1
20171212,12/12/2017,3,Tuesday,12,346,50,December,12,4,2017,2,2,2018,1
20171213,12/13/2017,4,Wednesday,13,347,50,December,12,4,2017,2,2,2018,1
20171214,12/14/2017,5,Thursday,14,348,50,December,12,4,2017,2,2,2018,1
20171215,12/15/2017,6,Friday,15,349,50,December,12,4,2017,2,2,2018,1
20171216,12/16/2017,7,Saturday,16,350,50,December,12,4,2017,2,2,2018,1
20171217,12/17/2017,1,Sunday,17,351,51,December,12,4,2017,2,2,2018,1
20171218,12/18/2017,2,Monday,18,352,51,December,12,4,2017,2,2,2018,1
20171219,12/19/2017,3,Tuesday,19,353,51,December,12,4,2017,2,2,2018,1
20171220,12/20/2017,4,Wednesday,20,354,51,December,12,4,2017,2,2,2018,1
20171221,12/21/2017,5,Thursday,21,355,51,December,12,4,2017,2,2,2018,1
20171222,12/22/2017,6,Friday,22,356,51,December,12,4,2017,2,2,2018,1
20171223,12/23/2017,7,Saturday,23,357,51,December,12,4,2017,2,2,2018,1
20171224,12/24/2017,1,Sunday,24,358,52,December,12,4,2017,2,2,2018,1
20171225,12/25/2017,2,Monday,25,359,52,December,12,4,2017,2,2,2018,1
20171226,12/26/2017,3,Tuesday,26,360,52,December,12,4,2017,2,2,2018,1
20171227,12/27/2017,4,Wednesday,27,361,52,December,12,4,2017,2,2,2018,1
20171228,12/28/2017,5,Thursday,28,362,52,December,12,4,2017,2,2,2018,1
20171229,12/29/2017,6,Friday,29,363,52,December,12,4,2017,2,2,2018,1
20171230,12/30/2017,7,Saturday,30,364,52,December,12,4,2017,2,2,2018,1
20171231,12/31/2017,1,Sunday,31,365,53,December,12,4,2017,2,2,2018,1
20180101,1/1/2018,2,Monday,1,1,1,January,1,1,2018,1,3,2018,2
20180102,1/2/2018,3,Tuesday,2,2,1,January,1,1,2018,1,3,2018,2
20180103,1/3/2018,4,Wednesday,3,3,1,January,1,1,2018,1,3,2018,2
20180104,1/4/2018,5,Thursday,4,4,1,January,1,1,2018,1,3,2018,2
20180105,1/5/2018,6,Friday,5,5,1,January,1,1,2018,1,3,2018,2
20180106,1/6/2018,7,Saturday,6,6,1,January,1,1,2018,1,3,2018,2
20180107,1/7/2018,1,Sunday,7,7,2,January,1,1,2018,1,3,2018,2
20180108,1/8/2018,2,Monday,8,8,2,January,1,1,2018,1,3,2018,2
20180109,1/9/2018,3,Tuesday,9,9,2,January,1,1,2018,1,3,2018,2
20180110,1/10/2018,4,Wednesday,10,10,2,January,1,1,2018,1,3,2018,2
20180111,1/11/2018,5,Thursday,11,11,2,January,1,1,2018,1,3,2018,2
20180112,1/12/2018,6,Friday,12,12,2,January,1,1,2018,1,3,2018,2
20180113,1/13/2018,7,Saturday,13,13,2,January,1,1,2018,1,3,2018,2
20180114,1/14/2018,1,Sunday,14,14,3,January,1,1,2018,1,3,2018,2
20180115,1/15/2018,2,Monday,15,15,3,January,1,1,2018,1,3,2018,2
20180116,1/16/2018,3,Tuesday,16,16,3,January,1,1,2018,1,3,2018,2
20180117,1/17/2018,4,Wednesday,17,17,3,January,1,1,2018,1,3,2018,2
20180118,1/18/2018,5,Thursday,18,18,3,January,1,1,2018,1,3,2018,2
20180119,1/19/2018,6,Friday,19,19,3,January,1,1,2018,1,3,2018,2
20180120,1/20/2018,7,Saturday,20,20,3,January,1,1,2018,1,3,2018,2
20180121,1/21/2018,1,Sunday,21,21,4,January,1,1,2018,1,3,2018,2
20180122,1/22/2018,2,Monday,22,22,4,January,1,1,2018,1,3,2018,2
20180123,1/23/2018,3,Tuesday,23,23,4,January,1,1,2018,1,3,2018,2
20180124,1/24/2018,4,Wednesday,24,24,4,January,1,1,2018,1,3,2018,2
20180125,1/25/2018,5,Thursday,25,25,4,January,1,1,2018,1,3,2018,2
20180126,1/26/2018,6,Friday,26,26,4,January,1,1,2018,1,3,2018,2
20180127,1/27/2018,7,Saturday,27,27,4,January,1,1,2018,1,3,2018,2
20180128,1/28/2018,1,Sunday,28,28,5,January,1,1,2018,1,3,2018,2
20180129,1/29/2018,2,Monday,29,29,5,January,1,1,2018,1,3,2018,2
20180130,1/30/2018,3,Tuesday,30,30,5,January,1,1,2018,1,3,2018,2
20180131,1/31/2018,4,Wednesday,31,31,5,January,1,1,2018,1,3,2018,2
20180201,2/1/2018,5,Thursday,1,32,5,February,2,1,2018,1,3,2018,2
20180202,2/2/2018,6,Friday,2,33,5,February,2,1,2018,1,3,2018,2
20180203,2/3/2018,7,Saturday,3,34,5,February,2,1,2018,1,3,2018,2
20180204,2/4/2018,1,Sunday,4,35,6,February,2,1,2018,1,3,2018,2
20180205,2/5/2018,2,Monday,5,36,6,February,2,1,2018,1,3,2018,2
20180206,2/6/2018,3,Tuesday,6,37,6,February,2,1,2018,1,3,2018,2
20180207,2/7/2018,4,Wednesday,7,38,6,February,2,1,2018,1,3,2018,2
20180208,2/8/2018,5,Thursday,8,39,6,February,2,1,2018,1,3,2018,2
20180209,2/9/2018,6,Friday,9,40,6,February,2,1,2018,1,3,2018,2
20180210,2/10/2018,7,Saturday,10,41,6,February,2,1,2018,1,3,2018,2
20180211,2/11/2018,1,Sunday,11,42,7,February,2,1,2018,1,3,2018,2
20180212,2/12/2018,2,Monday,12,43,7,February,2,1,2018,1,3,2018,2
20180213,2/13/2018,3,Tuesday,13,44,7,February,2,1,2018,1,3,2018,2
20180214,2/14/2018,4,Wednesday,14,45,7,February,2,1,2018,1,3,2018,2
20180215,2/15/2018,5,Thursday,15,46,7,February,2,1,2018,1,3,2018,2
20180216,2/16/2018,6,Friday,16,47,7,February,2,1,2018,1,3,2018,2
20180217,2/17/2018,7,Saturday,17,48,7,February,2,1,2018,1,3,2018,2
20180218,2/18/2018,1,Sunday,18,49,8,February,2,1,2018,1,3,2018,2
20180219,2/19/2018,2,Monday,19,50,8,February,2,1,2018,1,3,2018,2
20180220,2/20/2018,3,Tuesday,20,51,8,February,2,1,2018,1,3,2018,2
20180221,2/21/2018,4,Wednesday,21,52,8,February,2,1,2018,1,3,2018,2
20180222,2/22/2018,5,Thursday,22,53,8,February,2,1,2018,1,3,2018,2
20180223,2/23/2018,6,Friday,23,54,8,February,2,1,2018,1,3,2018,2
20180224,2/24/2018,7,Saturday,24,55,8,February,2,1,2018,1,3,2018,2
20180225,2/25/2018,1,Sunday,25,56,9,February,2,1,2018,1,3,2018,2
20180226,2/26/2018,2,Monday,26,57,9,February,2,1,2018,1,3,2018,2
20180227,2/27/2018,3,Tuesday,27,58,9,February,2,1,2018,1,3,2018,2
20180228,2/28/2018,4,Wednesday,28,59,9,February,2,1,2018,1,3,2018,2
20180301,3/1/2018,5,Thursday,1,60,9,March,3,1,2018,1,3,2018,2
20180302,3/2/2018,6,Friday,2,61,9,March,3,1,2018,1,3,2018,2
20180303,3/3/2018,7,Saturday,3,62,9,March,3,1,2018,1,3,2018,2
20180304,3/4/2018,1,Sunday,4,63,10,March,3,1,2018,1,3,2018,2
20180305,3/5/2018,2,Monday,5,64,10,March,3,1,2018,1,3,2018,2
20180306,3/6/2018,3,Tuesday,6,65,10,March,3,1,2018,1,3,2018,2
20180307,3/7/2018,4,Wednesday,7,66,10,March,3,1,2018,1,3,2018,2
20180308,3/8/2018,5,Thursday,8,67,10,March,3,1,2018,1,3,2018,2
20180309,3/9/2018,6,Friday,9,68,10,March,3,1,2018,1,3,2018,2
20180310,3/10/2018,7,Saturday,10,69,10,March,3,1,2018,1,3,2018,2
20180311,3/11/2018,1,Sunday,11,70,11,March,3,1,2018,1,3,2018,2
20180312,3/12/2018,2,Monday,12,71,11,March,3,1,2018,1,3,2018,2
20180313,3/13/2018,3,Tuesday,13,72,11,March,3,1,2018,1,3,2018,2
20180314,3/14/2018,4,Wednesday,14,73,11,March,3,1,2018,1,3,2018,2
20180315,3/15/2018,5,Thursday,15,74,11,March,3,1,2018,1,3,2018,2
20180316,3/16/2018,6,Friday,16,75,11,March,3,1,2018,1,3,2018,2
20180317,3/17/2018,7,Saturday,17,76,11,March,3,1,2018,1,3,2018,2
20180318,3/18/2018,1,Sunday,18,77,12,March,3,1,2018,1,3,2018,2
20180319,3/19/2018,2,Monday,19,78,12,March,3,1,2018,1,3,2018,2
20180320,3/20/2018,3,Tuesday,20,79,12,March,3,1,2018,1,3,2018,2
20180321,3/21/2018,4,Wednesday,21,80,12,March,3,1,2018,1,3,2018,2
20180322,3/22/2018,5,Thursday,22,81,12,March,3,1,2018,1,3,2018,2
20180323,3/23/2018,6,Friday,23,82,12,March,3,1,2018,1,3,2018,2
20180324,3/24/2018,7,Saturday,24,83,12,March,3,1,2018,1,3,2018,2
20180325,3/25/2018,1,Sunday,25,84,13,March,3,1,2018,1,3,2018,2
20180326,3/26/2018,2,Monday,26,85,13,March,3,1,2018,1,3,2018,2
20180327,3/27/2018,3,Tuesday,27,86,13,March,3,1,2018,1,3,2018,2
20180328,3/28/2018,4,Wednesday,28,87,13,March,3,1,2018,1,3,2018,2
20180329,3/29/2018,5,Thursday,29,88,13,March,3,1,2018,1,3,2018,2
20180330,3/30/2018,6,Friday,30,89,13,March,3,1,2018,1,3,2018,2
20180331,3/31/2018,7,Saturday,31,90,13,March,3,1,2018,1,3,2018,2
20180401,4/1/2018,1,Sunday,1,91,14,April,4,2,2018,1,4,2018,2
20180402,4/2/2018,2,Monday,2,92,14,April,4,2,2018,1,4,2018,2
20180403,4/3/2018,3,Tuesday,3,93,14,April,4,2,2018,1,4,2018,2
20180404,4/4/2018,4,Wednesday,4,94,14,April,4,2,2018,1,4,2018,2
20180405,4/5/2018,5,Thursday,5,95,14,April,4,2,2018,1,4,2018,2
20180406,4/6/2018,6,Friday,6,96,14,April,4,2,2018,1,4,2018,2
20180407,4/7/2018,7,Saturday,7,97,14,April,4,2,2018,1,4,2018,2
20180408,4/8/2018,1,Sunday,8,98,15,April,4,2,2018,1,4,2018,2
20180409,4/9/2018,2,Monday,9,99,15,April,4,2,2018,1,4,2018,2
20180410,4/10/2018,3,Tuesday,10,100,15,April,4,2,2018,1,4,2018,2
20180411,4/11/2018,4,Wednesday,11,101,15,April,4,2,2018,1,4,2018,2
20180412,4/12/2018,5,Thursday,12,102,15,April,4,2,2018,1,4,2018,2
20180413,4/13/2018,6,Friday,13,103,15,April,4,2,2018,1,4,2018,2
20180414,4/14/2018,7,Saturday,14,104,15,April,4,2,2018,1,4,2018,2
20180415,4/15/2018,1,Sunday,15,105,16,April,4,2,2018,1,4,2018,2
20180416,4/16/2018,2,Monday,16,106,16,April,4,2,2018,1,4,2018,2
20180417,4/17/2018,3,Tuesday,17,107,16,April,4,2,2018,1,4,2018,2
20180418,4/18/2018,4,Wednesday,18,108,16,April,4,2,2018,1,4,2018,2
20180419,4/19/2018,5,Thursday,19,109,16,April,4,2,2018,1,4,2018,2
20180420,4/20/2018,6,Friday,20,110,16,April,4,2,2018,1,4,2018,2
20180421,4/21/2018,7,Saturday,21,111,16,April,4,2,2018,1,4,2018,2
20180422,4/22/2018,1,Sunday,22,112,17,April,4,2,2018,1,4,2018,2
20180423,4/23/2018,2,Monday,23,113,17,April,4,2,2018,1,4,2018,2
20180424,4/24/2018,3,Tuesday,24,114,17,April,4,2,2018,1,4,2018,2
20180425,4/25/2018,4,Wednesday,25,115,17,April,4,2,2018,1,4,2018,2
20180426,4/26/2018,5,Thursday,26,116,17,April,4,2,2018,1,4,2018,2
20180427,4/27/2018,6,Friday,27,117,17,April,4,2,2018,1,4,2018,2
20180428,4/28/2018,7,Saturday,28,118,17,April,4,2,2018,1,4,2018,2
20180429,4/29/2018,1,Sunday,29,119,18,April,4,2,2018,1,4,2018,2
20180430,4/30/2018,2,Monday,30,120,18,April,4,2,2018,1,4,2018,2
20180501,5/1/2018,3,Tuesday,1,121,18,May,5,2,2018,1,4,2018,2
20180502,5/2/2018,4,Wednesday,2,122,18,May,5,2,2018,1,4,2018,2
20180503,5/3/2018,5,Thursday,3,123,18,May,5,2,2018,1,4,2018,2
20180504,5/4/2018,6,Friday,4,124,18,May,5,2,2018,1,4,2018,2
20180505,5/5/2018,7,Saturday,5,125,18,May,5,2,2018,1,4,2018,2
20180506,5/6/2018,1,Sunday,6,126,19,May,5,2,2018,1,4,2018,2
20180507,5/7/2018,2,Monday,7,127,19,May,5,2,2018,1,4,2018,2
20180508,5/8/2018,3,Tuesday,8,128,19,May,5,2,2018,1,4,2018,2
20180509,5/9/2018,4,Wednesday,9,129,19,May,5,2,2018,1,4,2018,2
20180510,5/10/2018,5,Thursday,10,130,19,May,5,2,2018,1,4,2018,2
20180511,5/11/2018,6,Friday,11,131,19,May,5,2,2018,1,4,2018,2
20180512,5/12/2018,7,Saturday,12,132,19,May,5,2,2018,1,4,2018,2
20180513,5/13/2018,1,Sunday,13,133,20,May,5,2,2018,1,4,2018,2
20180514,5/14/2018,2,Monday,14,134,20,May,5,2,2018,1,4,2018,2
20180515,5/15/2018,3,Tuesday,15,135,20,May,5,2,2018,1,4,2018,2
20180516,5/16/2018,4,Wednesday,16,136,20,May,5,2,2018,1,4,2018,2
20180517,5/17/2018,5,Thursday,17,137,20,May,5,2,2018,1,4,2018,2
20180518,5/18/2018,6,Friday,18,138,20,May,5,2,2018,1,4,2018,2
20180519,5/19/2018,7,Saturday,19,139,20,May,5,2,2018,1,4,2018,2
20180520,5/20/2018,1,Sunday,20,140,21,May,5,2,2018,1,4,2018,2
20180521,5/21/2018,2,Monday,21,141,21,May,5,2,2018,1,4,2018,2
20180522,5/22/2018,3,Tuesday,22,142,21,May,5,2,2018,1,4,2018,2
